GENEID,logFC,p_value,adj_p,-log10_p
A1BG,0.3305261188998969,0.08773723854141748,0.16947051493855741,1.0568160387833359
A1BG-AS1,0.01948574001782255,0.7734351628460979,0.837642838402005,0.1115760873923973
A4GALT,-1.5283208335737188,0.1063296568733227,0.19436860955103102,0.9733455875925607
AAAS,0.06883695378732213,0.4238042181863418,0.5391719164097563,0.3728347250062174
AACS,-0.19789707928126887,0.030797260421340584,0.085100709642848,1.5114879145648716
AAGAB,-0.34786331167904017,0.0040110217690012264,0.02851908630587933,2.3967449809673798
AAK1,0.305946848644,0.010703657225283936,0.046193165134236484,1.970467807232393
AAMDC,0.8125633677316122,0.0020614651329095594,0.021258236760082455,2.685824006345541
AAMP,-0.18361117732234256,0.02569818827517603,0.07610776475926215,1.5900974933935554
AANAT,0.4210114686112645,0.7733229307321239,0.8375744078209222,0.1116391118408604
AAR2,-0.5077258532228459,0.012026165715630022,0.049236484265454336,1.9198728160494896
AARD,-2.134167954110749,0.0009958687364305242,0.01620208785225897,3.0017979013360687
AARS1,-0.14115719062940002,0.13258358796817132,0.22773384950034817,0.8775102323112971
AARS2,0.10482392001699736,0.16553016992573083,0.26752598992587645,0.7811228391200861
AASDH,-0.07208186431080854,0.5014531221774686,0.612715724629696,0.2997696603130128
AASDHPPT,-0.029662207507245242,0.696921348699651,0.7765954891839439,0.15681623159081437
AASS,2.2265695503239127,0.007972337476828153,0.03977439070583152,2.098414325473044
AATF,-0.023589020690080176,0.6799572956436688,0.7634208243068331,0.1675183620712488
AATK,-0.4926824322682153,0.4613113163361496,0.5740769570078877,0.33600589166950307
ABALON,-1.4776531357587017,0.05183820422577893,0.11885620482862874,1.2853500516656908
ABAT,-1.0831751612160332,0.00026504918298130004,0.009992122261520797,3.5766735301557584
ABCA1,2.3022968652028393,0.005354488636295343,0.03302460631007561,2.271281998789079
ABCA10,0.7260217966770814,0.029489994356057467,0.08274739297048855,1.530325310565643
ABCA2,0.5432625528235135,0.003693492140260725,0.027446690781215557,2.432562820819258
ABCA3,-0.08599483070704039,0.427479734411848,0.5424739113138982,0.36908446910358456
ABCA5,0.8760228021843144,0.011234937865677332,0.04737260097090662,1.9494293250844685
ABCA7,0.7309488584893185,0.00036949589640517796,0.011128538664746428,3.4323903804856193
ABCA9,0.24565519805540204,0.8077783031600858,0.8624213868749475,0.09270781611329013
ABCB1,3.1094180578040995,0.023385038031250437,0.07177323768146364,1.6310619194587581
ABCB10,-0.4220777480477622,0.004236752387095649,0.02926821218221375,2.372966917179183
ABCB6,1.1646128886951441,5.964945100636169e-05,0.00569069092086949,4.224393549076706
ABCB7,0.01002964107362736,0.847595241763379,0.892756085178976,0.07181149000006853
ABCB8,0.1109725508343864,0.18016677994704874,0.2852237045662141,0.7443252833663404
ABCB9,0.5056038100264466,0.05908974909045905,0.12938526031770345,1.228487854137112
ABCC1,-0.4219202222526057,0.011048245063716986,0.047009975009300486,1.9567067011347454
ABCC10,0.8684074003709927,0.0014298507122826884,0.018685397718352967,2.8447093039449807
ABCC2,0.14633690340885863,0.42254731956260966,0.5380538793654974,0.37412464890555747
ABCC4,-0.7290237335675798,0.02244152876992534,0.07004825202047432,1.6489475612426272
ABCC5,0.2041197295689443,0.08136918485460702,0.16076126909309843,1.0895400346854647
ABCD1,0.40202445270174714,0.001836438353980423,0.02044296589506547,2.7360236455792277
ABCD2,-0.5765121528481743,0.003018876389249149,0.025050219678915315,2.5201546692114314
ABCD3,-0.3368430877080222,0.004201406930622944,0.029132630909946052,2.3766052524859944
ABCD4,0.2999826304615745,0.012297327563583725,0.04982611257557,1.9101892585193216
ABCE1,-0.5305821990894799,0.0011089463199684614,0.01706740905347931,2.9550894759479758
ABCF1,-0.3064359100428522,0.01028182335809195,0.04526493876930555,1.9879298615918126
ABCF1-DT,0.03317855785030477,0.9572846054004331,0.9716225382718097,0.01895892514971397
ABCF2,-0.2774640918867597,0.05904170033905856,0.12929662948064927,1.2288411437792368
ABCF3,0.14325466812983123,0.20220853602164932,0.3079014863701922,0.6942005150711704
ABCG1,1.2029435636556576,0.005781826412021355,0.03410578571263857,2.2379349513082065
ABCG2,-2.169259593489807,0.0004655273577719709,0.01199350889380821,3.332054791631552
ABHD1,0.41766024705662375,0.6181584711812768,0.7138417779525739,0.20890017485121906
ABHD10,0.250659411791478,0.03494680732476,0.09160772421924991,1.456592494441165
ABHD11,-0.06272026217238391,0.31996688032025605,0.4359401958855124,0.49489497305058006
ABHD11-AS1,-1.2974636753044675,0.06789071619283374,0.14164566407147486,1.168189609841516
ABHD12,0.11942500080941443,0.13516338488389312,0.23068010430364208,0.8691409407652271
ABHD13,-0.4433477524120182,0.012413938217359376,0.050000926424381614,1.9060904203753575
ABHD14A,0.559399959979693,0.0034857418932310847,0.026519005104953444,2.457704773994664
ABHD14B,0.584840377908801,0.0011563503115466442,0.017306743444594253,2.936910578264554
ABHD15,0.15149335942402153,0.033992995309932605,0.09022355935774311,1.4686105656534434
ABHD16A,-0.05719018047853197,0.4182991331417061,0.5336391974197606,0.3785130354245424
ABHD16B,1.4406426982957874,0.07559735281707748,0.1528530758480964,1.121493411867369
ABHD17A,0.5339453017658542,0.0011493086768989045,0.01729228570520052,2.939563314505744
ABHD17B,0.03166909159148901,0.7052877387816217,0.7828086356667531,0.1516336661706675
ABHD17C,0.4191140657770571,0.001566746838465917,0.019395012371986195,2.805001172988733
ABHD18,0.22255068331082128,0.05745384444614259,0.12710083981661247,1.240680905776667
ABHD2,-0.2547021116284931,0.014679377096757004,0.055121403486699784,1.8332923728382584
ABHD3,0.3125713895577462,0.015786807099284733,0.05749441348570813,1.8017056976914647
ABHD4,0.40107074540763854,0.030129198309629412,0.08394352327946779,1.5210124240629928
ABHD5,-0.02079430035753127,0.8111253493950709,0.8652375283665203,0.09091202575928788
ABHD6,-0.3105730245292424,0.0072907999546845265,0.0382753049819664,2.1372248177938036
ABHD8,0.4217975765129758,0.01785704398769225,0.061704722820279355,1.7481904315664394
ABI1,-0.10852194326490583,0.11058308553173779,0.19985473083135638,0.9563112963767338
ABI2,-0.5294968887028677,0.003832123255614872,0.027804104943091056,2.416560530811515
ABI3,-0.4281065511608997,0.00669596707178196,0.03664968900154505,2.174186690704545
ABITRAM,0.02122258301537805,0.8060587232336524,0.8616628993215074,0.09363331768953762
ABL1,0.031710474714614634,0.6540591936096417,0.7428536657513657,0.1843829454147096
