GENEID,logFC,p_value,adj_p,-log10_p
AARD,-2.134167954110749,0.0009958687364305242,0.01620208785225897,3.0017979013360687
AASS,2.2265695503239127,0.007972337476828153,0.03977439070583152,2.098414325473044
ABAT,-1.0831751612160332,0.00026504918298130004,0.009992122261520797,3.5766735301557584
ABCA1,2.3022968652028393,0.005354488636295343,0.03302460631007561,2.271281998789079
ABCB6,1.1646128886951441,5.964945100636169e-05,0.00569069092086949,4.224393549076706
ABCG1,1.2029435636556576,0.005781826412021355,0.03410578571263857,2.2379349513082065
ABCG2,-2.169259593489807,0.0004655273577719709,0.01199350889380821,3.332054791631552
ABLIM1,1.0667792511791347,0.0004517863403585272,0.011913380242266068,3.3450669039968783
ABO,8.217057532538906,4.457007633577233e-05,0.005066785658817151,4.3509566220911555
ACTN3,2.07861822704767,0.0025443708364796423,0.023154393291418315,2.5944195909404
ACTRT3,-1.1564950944337395,0.007882046272261092,0.039600383698559186,2.103361019898141
ACVR1B,-1.4069399848137571,0.0013778624710876965,0.01845471170099184,2.860794128602879
ACVR2A,-1.1130193068757182,0.010254909666927952,0.04522130700455955,1.9890681608760648
ACVR2B,1.4348571042247098,0.0016018592116187904,0.019441526540839353,2.795375656980852
ADAM12,6.2609311662444505,0.00045650598537518787,0.011913380242266068,3.3405535239382798
ADAMTS7,-2.8540808080736904,0.012126503270580642,0.04942345974981041,1.91626441176487
ADAP1,-1.3892208546542602,2.126114852717121e-05,0.004036362044937004,4.672413278592591
ADCY1,-2.581984792464488,0.006450210682750875,0.036138532752407054,2.1904260998047604
ADGRA3,-1.3420078914015061,0.0004278104529458329,0.011707883181019212,3.3687486082609044
ADGRG1,-1.0553777499246753,6.424476690149934e-05,0.005823788585368484,4.192162242290239
ADHFE1,1.2838315725672755,0.0018187584535798965,0.020400750893079928,2.740224975066818
ADM,4.345391204184495,0.007684435623001764,0.03911497475049388,2.1143880233908625
ADPRH,-1.5566224113048284,5.865452535004672e-06,0.002946009792361023,5.231698475300598
AEBP1,-1.276425116180885,8.1287540009146e-05,0.006578897254673869,4.089976019227353
AEN,-1.0557250206190734,0.0030229207899211885,0.02505942637353599,2.5195732325611297
AFAP1,-1.2579307962745139,0.0003680222599380138,0.011128538664746428,3.4341259120985637
AFF2,-2.5897622937413614,0.008459153562797618,0.04099295886888806,2.072673091026833
AGAP3,1.2594517045798188,0.008043191075212102,0.039916760822841346,2.094571614012296
AGPAT4-IT1,1.3096389673128397,0.008967655103875179,0.04218750584266568,2.0473211030629717
AICDA,-2.2712603970723455,0.007353743915067187,0.03838016040269021,2.133491497965889
AIRE,1.117292825827498,0.0004833929721914891,0.01213340554515308,3.3156996678726025
AK4,1.9930147069321453,0.0002609676872871013,0.009992122261520797,3.583413263166166
AKAP12,-6.104968586051432,0.0012886927812478944,0.018080266494217033,2.8898506042224645
AKAP5,-1.6676050052023523,0.012051079303878122,0.04928071869548053,1.9189740556013308
AKR1C1,2.5762936213448406,0.009377761756534755,0.043104031649322874,2.027900804774457
AKR1E2,1.3255612300410133,0.0016374091221896191,0.01962248110851377,2.785842794436518
AKT3,-1.038479305086895,0.003958056732963864,0.02833859441070977,2.4025179851077514
