,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Regulation Of B Cell Activation (GO:0050864),10/25,1.3651595774852909e-06,0.0046633851166897,0,0,9.927340228056218,134.06117735308223,IL10;IL4;IL4I1;IL6;THEMIS2;FCRL3;TNFSF4;SLAMF8;FOXJ1;ZFP36L2
1,GO_Biological_Process_2023,Mononuclear Cell Differentiation (GO:1903131),9/24,8.756762316407367e-06,0.0149565500364237,0,0,8.927503974562798,103.9668930525716,IL4;BATF3;CSF2;MT1G;LILRB1;GAS6;CLU;RELB;VEGFA
2,GO_Biological_Process_2023,Inflammatory Response (GO:0006954),33/236,1.5661036529174343e-05,0.0163033863745923,0,0,2.4410583548235145,27.00868661115218,CXCL9;CXCL8;C5AR2;PTGER3;ADM;GATA3;ADCY1;RELB;NLRP6;CCL4;CCL3;PROK2;NLRP3;CCL1;TNFRSF4;KLRG1;PTGIR;CCL22;IL13;PLA2G4C;HSPG2;IL4;CXCL10;NCR3;IL6;TNFSF4;XCL2;XCL1;TLR10;TLR6;TLR5;NAIP;TLR2
3,GO_Biological_Process_2023,Positive Regulation Of T-helper 2 Cell Cytokine Production (GO:2000553),5/7,1.9090616363691275e-05,0.0163033863745923,0,0,37.10578446909667,403.203091658005,IL4;IL6;RSAD2;NLRP3;XCL1
4,GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),40/320,3.091179960826698e-05,0.021118941492368,0,0,2.148445686342997,22.31026048048049,CSF2;AIRE;FLT4;SERPINE1;HILPDA;HTR2B;GATA3;PTGS2;SCAMP5;C3;PLCG2;CYP1B1;NLRP3;IL12A;CCL1;IL6R;IL12RB2;CD276;IL10;SYK;IL1R1;IL13;OSM;LILRB1;IL4;FGR;IL6;CD4;IL7;TNFSF4;IRF1;XCL1;TLR7;IL17F;TLR6;LTB;TLR5;ZP3;HSPA1B;TLR2
5,GO_Biological_Process_2023,Positive Regulation Of Type 2 Immune Response (GO:0002830),6/13,7.444078873518366e-05,0.0423816223865645,0,0,12.728673388467202,120.9924880207584,IL4;IL6;RSAD2;TNFSF4;NLRP3;XCL1
6,GO_Biological_Process_2023,Positive Regulation Of Leukocyte Migration (GO:0002687),9/31,9.019186065604844e-05,0.0440136280001516,0,0,6.084658187599364,56.66989830197532,IL4;IL6;CSF1;XCL1;ZP3;IL6R;ICAM1;JAM3;VEGFA
7,GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),31/240,0.00012734235160105994,0.0454568049873876,0,0,2.2229603134048714,19.93691170430585,SERPINE1;MGST2;GATA3;AOAH;PTGS2;METRNL;USP18;NLRP6;CAMK2N1;ALOX5;CCL3;NLRP3;CCL1;SNCA;IL10;PTGIS;IL1R1;IL13;OSM;IL4;IL6;TNFSF4;TYRO3;XCL1;TLR7;SMPDL3B;ZP3;PIK3AP1;NAIP;TLR2;BIRC3
8,GO_Biological_Process_2023,Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034121),7/20,0.00015011813196597014,0.0454568049873876,0,0,8.0,70.43270421904153,GFI1;IRF1;TYRO3;SMPDL3B;TLR5;BIRC3;TLR2
9,GO_Biological_Process_2023,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),13/65,0.00018560437001395783,0.0454568049873876,0,0,3.724282296650718,31.998635711748403,CSF2;LIF;OSM;OCRL;PARP9;VEGFA;IL4;SOCS3;IL6;SOCS1;IL12A;HES1;IL6R
10,GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),74/766,0.0001882214333692948,0.0454568049873876,0,0,1.617133180547413,13.871592884820195,TRIM71;COL18A1;CDKN1A;VIPR1;CXCL9;CDKN1B;ATP8A2;CSF2;CXCL8;CSF1;FLT4;HILPDA;HTR2B;PTPRK;CLU;ESM1;MYC;ITGAX;CYP1B1;IL6R;CD33;IL10;EPHA4;WNT9A;P3H3;GAB2;SFRP5;IRF1;EPHA1;SGK1;HBEGF;LTK;CHRNA7;GATA3;ADGRG1;IGFBP7;UTP20;HES1;STX3;TP53I11;ZBTB7C;IL12RB2;NTRK1;NTRK2;WWTR1;JUN;CDKN2B;EGR4;STAT1;NOS3;TNFRSF9;FN1;LIF;OSM;IFNLR1;SMAD6;S100B;TSHR;WARS1;VEGFA;FOSL1;IL4;CXCL10;EPGN;IL6;CDK6;NR4A3;IL7;TNFSF4;DLG5;SCGB3A1;HSPA1B;GSDME;LGMN
11,GO_Biological_Process_2023,Regulation Of T-helper 2 Cell Cytokine Production (GO:2000551),5/10,0.00019496398814135776,0.0454568049873876,0,0,14.839936608557844,126.7730625451772,IL4;IL6;RSAD2;NLRP3;XCL1
